addressmapping,energy,episode_length,episode_return,episodes,err_rate,latency,pagepolicy,ras,rcd,refi,rp,rrd,steps,steps_per_second
1,19.620773120000003,1,16.353983,61,8.204338400000036e-05,146.242,1,34,12,379080,16,5,61,1.6259815657912693
1,19.620773120000003,1,16.353983,62,8.204338400000036e-05,146.242,1,34,12,379080,16,5,62,134.49748276414942
1,19.620773120000003,1,16.353983,63,8.204338400000036e-05,146.242,1,34,12,379080,16,5,63,148.59191554185708
1,19.620773120000003,1,16.353983,64,8.204338400000036e-05,146.242,1,34,12,379080,16,5,64,148.90315251349048
1,19.620773120000003,1,16.353983,65,8.204338400000036e-05,146.242,1,34,12,379080,16,5,65,149.64692450406736
1,19.620773120000003,1,16.353983,66,8.204338400000036e-05,146.242,1,34,12,379080,16,5,66,147.94201262742055
1,19.620773120000003,1,16.353983,67,8.204338400000036e-05,146.242,1,34,12,379080,16,5,67,149.7430917529454
1,19.620773120000003,1,16.353983,68,8.204338400000036e-05,146.242,1,34,12,379080,16,5,68,149.52955436720143
1,19.620773120000003,1,16.353983,69,8.204338400000036e-05,146.242,1,34,12,379080,16,5,69,150.1720014321518
1,19.620773120000003,1,16.353983,70,8.204338400000036e-05,146.242,1,34,12,379080,16,5,70,78.36744455447395
1,19.620773120000003,1,16.353983,71,8.204338400000036e-05,146.242,1,34,12,379080,16,5,71,1.6303000832970875
1,19.620773120000003,1,16.353983,72,8.204338400000036e-05,146.242,1,34,12,379080,16,5,72,73.1619948019327
1,19.620773120000003,1,16.353983,73,8.204338400000036e-05,146.242,1,34,12,379080,16,5,73,149.31130967213699
1,19.620773120000003,1,16.353983,74,8.204338400000036e-05,146.242,1,34,12,379080,16,5,74,148.22433473513092
1,19.620773120000003,1,16.353983,75,8.204338400000036e-05,146.242,1,34,12,379080,16,5,75,148.88729544567107
1,19.620773120000003,1,16.353983,76,8.204338400000036e-05,146.242,1,34,12,379080,16,5,76,147.32363891815947
1,19.620773120000003,1,16.353983,77,8.204338400000036e-05,146.242,1,34,12,379080,16,5,77,148.5603371940637
1,19.620773120000003,1,16.353983,78,8.204338400000036e-05,146.242,1,34,12,379080,16,5,78,149.72705529575555
1,19.620773120000003,1,16.353983,79,8.204338400000036e-05,146.242,1,34,12,379080,16,5,79,149.8982881240842
1,19.620773120000003,1,16.353983,80,8.204338400000036e-05,146.242,1,34,12,379080,16,5,80,78.69090636198194
1,19.620773120000003,1,16.353983,81,8.204338400000036e-05,146.242,1,34,12,379080,16,5,81,1.630583390870017
1,19.620773120000003,1,16.353983,82,8.204338400000036e-05,146.242,1,34,12,379080,16,5,82,132.777359207319
1,19.620773120000003,1,16.353983,83,8.204338400000036e-05,146.242,1,34,12,379080,16,5,83,147.3961203261175
1,19.620773120000003,1,16.353983,84,8.204338400000036e-05,146.242,1,34,12,379080,16,5,84,149.0036590997904
1,19.620773120000003,1,16.353983,85,8.204338400000036e-05,146.242,1,34,12,379080,16,5,85,148.0987253274955
1,19.620773120000003,1,16.353983,86,8.204338400000036e-05,146.242,1,34,12,379080,16,5,86,149.85544320983243
1,19.620773120000003,1,16.353983,87,8.204338400000036e-05,146.242,1,34,12,379080,16,5,87,147.58802209789226
1,19.620773120000003,1,16.353983,88,8.204338400000036e-05,146.242,1,34,12,379080,16,5,88,150.19351142304663
1,19.620773120000003,1,16.353983,89,8.204338400000036e-05,146.242,1,34,12,379080,16,5,89,145.90405955404043
1,19.620773120000003,1,16.353983,90,8.204338400000036e-05,146.242,1,34,12,379080,16,5,90,82.52117968796112
1,19.620773120000003,1,16.353983,91,8.204338400000036e-05,146.242,1,34,12,379080,16,5,91,1.6248804865765312
1,19.620773120000003,1,16.353983,92,8.204338400000036e-05,146.242,1,34,12,379080,16,5,92,137.05532137372154
1,19.620773120000003,1,16.353983,93,8.204338400000036e-05,146.242,1,34,12,379080,16,5,93,148.0621293419938
1,19.620773120000003,1,16.353983,94,8.204338400000036e-05,146.242,1,34,12,379080,16,5,94,151.06443363947415
1,19.620773120000003,1,16.353983,95,8.204338400000036e-05,146.242,1,34,12,379080,16,5,95,148.90315251349048
1,19.620773120000003,1,16.353983,96,8.204338400000036e-05,146.242,1,34,12,379080,16,5,96,150.47370309248763
1,19.620773120000003,1,16.353983,97,8.204338400000036e-05,146.242,1,34,12,379080,16,5,97,150.3712042447926
1,19.620773120000003,1,16.353983,98,8.204338400000036e-05,146.242,1,34,12,379080,16,5,98,150.2580783836068
1,19.620773120000003,1,16.353983,99,8.204338400000036e-05,146.242,1,34,12,379080,16,5,99,149.55621322873952
1,19.620773120000003,1,16.353983,100,8.204338400000036e-05,146.242,1,34,12,379080,16,5,100,80.46163290362185
